unix,date,symbol,open,high,low,close,Volume LINK,Volume USDT,tradecount
1.56833E+12,9/13/2019 0:00,LINK/USDT,1.7073,1.7099,1.51,1.5759,6639098.35,10598044.8,28807
1.56825E+12,9/12/2019 0:00,LINK/USDT,1.7301,1.7458,1.6918,1.7073,2229068.92,3823973.622,9598
1.56816E+12,9/11/2019 0:00,LINK/USDT,1.7988,1.8258,1.7136,1.7301,2229727.06,3918515.822,11755
1.56807E+12,9/10/2019 0:00,LINK/USDT,1.7883,1.8326,1.773,1.7998,2713368.74,4891387.976,11896
1.56799E+12,9/9/2019 0:00,LINK/USDT,1.829,1.8731,1.761,1.7872,3483191.16,6323682.303,16969
1.5679E+12,9/8/2019 0:00,LINK/USDT,1.7672,1.9054,1.761,1.8275,3504716.5,6430515.623,17352
1.56781E+12,9/7/2019 0:00,LINK/USDT,1.7222,1.806,1.7085,1.7672,2404181.98,4219207.724,11440
1.56773E+12,9/6/2019 0:00,LINK/USDT,1.7919,1.86,1.6767,1.7226,3184048.39,5630495.567,15071
1.56764E+12,9/5/2019 0:00,LINK/USDT,1.7793,1.8624,1.768,1.7921,2744215.93,4979721.84,15051
1.56756E+12,9/4/2019 0:00,LINK/USDT,1.8486,1.87,1.7167,1.7784,3579394.12,6383418.411,18905
1.56747E+12,9/3/2019 0:00,LINK/USDT,1.8307,1.9424,1.8147,1.849,3208754.39,5997210.328,18617
1.56738E+12,9/2/2019 0:00,LINK/USDT,1.7696,1.89,1.7272,1.8287,3044387.69,5527140.174,16202
1.5673E+12,9/1/2019 0:00,LINK/USDT,1.7788,1.8,1.717,1.7686,1332701.68,2343808.994,8320
1.56721E+12,8/31/2019 0:00,LINK/USDT,1.7958,1.8535,1.74,1.7791,1831969.16,3279132.271,11731
1.56712E+12,8/30/2019 0:00,LINK/USDT,1.7763,1.8913,1.7365,1.796,2660522.1,4851727.819,16311
1.56704E+12,8/29/2019 0:00,LINK/USDT,1.8956,1.8956,1.7253,1.7744,4211077.18,7603993.456,21640
1.56695E+12,8/28/2019 0:00,LINK/USDT,2.1098,2.1134,1.875,1.8957,3217225.93,6406247.929,20709
1.56686E+12,8/27/2019 0:00,LINK/USDT,2.0737,2.1788,2.005,2.1128,3009068.12,6305881.123,20777
1.56678E+12,8/26/2019 0:00,LINK/USDT,2.0783,2.1546,2.045,2.0739,2291314.91,4803942.752,15387
1.56669E+12,8/25/2019 0:00,LINK/USDT,2.1704,2.1804,2.0255,2.078,2772672.99,5849427.107,17646
1.5666E+12,8/24/2019 0:00,LINK/USDT,2.234,2.2545,2.1537,2.1681,1634146.8,3584393.344,12880
1.56652E+12,8/23/2019 0:00,LINK/USDT,2.2231,2.295,2.1723,2.2333,4173130.85,9343956.836,26802
1.56643E+12,8/22/2019 0:00,LINK/USDT,2.2058,2.2896,2.135,2.2227,2981137.74,6619741.313,20005
1.56635E+12,8/21/2019 0:00,LINK/USDT,2.3622,2.371,2.15,2.2054,4952696.55,11108904.24,27515
1.56626E+12,8/20/2019 0:00,LINK/USDT,2.4943,2.5401,2.3354,2.3624,3477390.83,8399786.436,19755
1.56617E+12,8/19/2019 0:00,LINK/USDT,2.5055,2.6,2.4508,2.4958,4288720.33,10873902.29,23900
1.56609E+12,8/18/2019 0:00,LINK/USDT,2.405,2.5657,2.3729,2.5051,3610567.41,8910268.691,22491
1.566E+12,8/17/2019 0:00,LINK/USDT,2.3046,2.419,2.282,2.4036,2035414.39,4797115.852,14017
1.56591E+12,8/16/2019 0:00,LINK/USDT,2.4225,2.459,2.227,2.3,3572488.27,8303548.667,22280
1.56583E+12,8/15/2019 0:00,LINK/USDT,2.284,2.4506,2.2565,2.4232,2808342.69,6614943.187,16508
1.56574E+12,8/14/2019 0:00,LINK/USDT,2.419,2.6031,2.163,2.2842,6940625.71,16780308.02,42688
1.56565E+12,8/13/2019 0:00,LINK/USDT,2.3868,2.4679,2.306,2.4229,3152764.71,7512364.832,26794
1.56557E+12,8/12/2019 0:00,LINK/USDT,2.4165,2.479,2.335,2.39,2574671.09,6197771.773,37821
1.56548E+12,8/11/2019 0:00,LINK/USDT,2.3336,2.49,2.2901,2.415,3709082.7,8883566.759,23950
1.5654E+12,8/10/2019 0:00,LINK/USDT,2.169,2.4091,2.1306,2.3336,5262480.44,12116492.76,33194
1.56531E+12,8/9/2019 0:00,LINK/USDT,2.2784,2.2919,2.151,2.1669,2368990.8,5269591.704,14805
1.56522E+12,8/8/2019 0:00,LINK/USDT,2.3883,2.3998,2.2713,2.2755,2864214,6668165.724,18648
1.56514E+12,8/7/2019 0:00,LINK/USDT,2.4822,2.5,2.3502,2.3826,3394545.7,8209664.153,23156
1.56505E+12,8/6/2019 0:00,LINK/USDT,2.4599,2.5181,2.31,2.4785,6060839.71,14681993.07,36003
1.56496E+12,8/5/2019 0:00,LINK/USDT,2.5097,2.6495,2.4562,2.4562,5401188.63,13740374.44,34002
1.56488E+12,8/4/2019 0:00,LINK/USDT,2.4186,2.6044,2.3811,2.5099,6257643.44,15627140.86,42790
1.56479E+12,8/3/2019 0:00,LINK/USDT,2.4269,2.7342,2.3569,2.4211,11329664.01,29150936.83,67463
1.5647E+12,8/2/2019 0:00,LINK/USDT,2.1612,2.49,2.1275,2.4271,6325797.01,14643305.51,34657
1.56462E+12,8/1/2019 0:00,LINK/USDT,2.2169,2.231,2.1054,2.161,2890541.35,6235734.284,17489
1.56453E+12,7/31/2019 0:00,LINK/USDT,2.0672,2.25,2.0589,2.2102,4592022.53,9994586.203,27588
1.56444E+12,7/30/2019 0:00,LINK/USDT,2.125,2.1854,1.9694,2.0682,4818376.29,10003715.58,29343
1.56436E+12,7/29/2019 0:00,LINK/USDT,2.2178,2.2482,2.11,2.1251,2228158.07,4832736.868,15361
1.56427E+12,7/28/2019 0:00,LINK/USDT,2.2372,2.2733,2.1,2.2156,1921301.06,4241100.632,13005
1.56419E+12,7/27/2019 0:00,LINK/USDT,2.3954,2.46,2.1525,2.2453,4296972.72,9987221.299,25633
1.5641E+12,7/26/2019 0:00,LINK/USDT,2.3615,2.43,2.3201,2.3989,1979267.83,4706305.416,14829
1.56401E+12,7/25/2019 0:00,LINK/USDT,2.3971,2.5149,2.3595,2.3615,4029732.82,9872407.064,26227
1.56393E+12,7/24/2019 0:00,LINK/USDT,2.3559,2.5131,2.27,2.3999,5323022.48,12721415.8,36533
1.56384E+12,7/23/2019 0:00,LINK/USDT,2.4073,2.52,2.2489,2.3535,5670564,13435602.95,36656
1.56375E+12,7/22/2019 0:00,LINK/USDT,2.5319,2.5857,2.3732,2.4078,3419071.85,8435367.335,24351
1.56367E+12,7/21/2019 0:00,LINK/USDT,2.6369,2.665,2.46,2.5319,3349432.24,8531199.091,24791
1.56358E+12,7/20/2019 0:00,LINK/USDT,2.602,2.7314,2.5751,2.637,4607848.26,12233251.54,32818
1.56349E+12,7/19/2019 0:00,LINK/USDT,2.67,2.749,2.491,2.6046,5548232.12,14390758.32,37423
1.56341E+12,7/18/2019 0:00,LINK/USDT,2.3951,2.8094,2.3542,2.67,13388877.99,34942865.13,80822
1.56332E+12,7/17/2019 0:00,LINK/USDT,2.1947,2.6,2.0531,2.398,13229065.69,30902383.51,73776
1.56324E+12,7/16/2019 0:00,LINK/USDT,2.6911,2.7749,2.1521,2.1948,8049014.93,19732975.21,52392
1.56315E+12,7/15/2019 0:00,LINK/USDT,2.7792,2.8498,2.5801,2.6913,7328956.43,19979889.88,47037
1.56306E+12,7/14/2019 0:00,LINK/USDT,3.1689,3.2413,2.7611,2.7856,8270840.72,24656046.2,55500
1.56298E+12,7/13/2019 0:00,LINK/USDT,3.166,3.2953,3.04,3.1652,9069996.44,28825984.75,65182
1.56289E+12,7/12/2019 0:00,LINK/USDT,2.787,3.3282,2.6,3.166,11732670.96,35188291.87,78572
1.5628E+12,7/11/2019 0:00,LINK/USDT,3.1166,3.1555,2.71,2.7853,7302194.48,21295316.69,52546
1.56272E+12,7/10/2019 0:00,LINK/USDT,3.067,3.2568,2.8578,3.1166,9566090.98,29441146.12,73143
1.56263E+12,7/9/2019 0:00,LINK/USDT,3.3334,3.3741,2.9401,3.067,9165611.15,28835425.25,67093
1.56254E+12,7/8/2019 0:00,LINK/USDT,3.275,3.5731,3.25,3.3362,5283821.17,17859623.59,45082
1.56246E+12,7/7/2019 0:00,LINK/USDT,3.465,3.5038,3.25,3.275,5553670.72,18694593.88,46263
1.56237E+12,7/6/2019 0:00,LINK/USDT,3.64,3.6611,3.4384,3.4603,4979198.01,17632773.83,44022
1.56228E+12,7/5/2019 0:00,LINK/USDT,3.4555,3.75,3.441,3.64,10535825.86,37923583.67,88803
1.5622E+12,7/4/2019 0:00,LINK/USDT,3.4854,3.61,3.204,3.453,9880436.75,33808432.7,82943
1.56211E+12,7/3/2019 0:00,LINK/USDT,3.7441,3.8857,3.4769,3.49,11110619.17,40919314.47,87597
1.56203E+12,7/2/2019 0:00,LINK/USDT,3.6476,3.9914,3.201,3.7453,26694285.35,97140287.17,186154
1.56194E+12,7/1/2019 0:00,LINK/USDT,3.3885,3.862,2.9266,3.6369,25318756.74,85715319.94,164015
1.56185E+12,6/30/2019 0:00,LINK/USDT,3.7051,4.22,3.23,3.3885,25198062.62,97131943.38,189555
1.56177E+12,6/29/2019 0:00,LINK/USDT,3.0391,4.5826,2.9499,3.7125,55522584.24,212325728.1,339919
1.56168E+12,6/28/2019 0:00,LINK/USDT,2.2912,3.0981,2.215,3.0392,16193947.24,43075487.92,100570
1.56159E+12,6/27/2019 0:00,LINK/USDT,2.2821,2.555,2.1123,2.2879,14032427.25,32964955.57,91668
1.56151E+12,6/26/2019 0:00,LINK/USDT,2.1931,2.5,2.0231,2.28,16314862.03,36133293.91,97300
1.56142E+12,6/25/2019 0:00,LINK/USDT,1.8689,2.4273,1.8613,2.1928,22004618.38,47774694.54,112726
1.56133E+12,6/24/2019 0:00,LINK/USDT,1.8169,1.8884,1.79,1.8689,2384487.82,4400730.712,19196
1.56125E+12,6/23/2019 0:00,LINK/USDT,1.8429,1.91,1.7702,1.8169,4603366.09,8435896.351,31706
1.56116E+12,6/22/2019 0:00,LINK/USDT,1.6895,1.947,1.6827,1.8428,8447723.54,15223949.29,46598
1.56108E+12,6/21/2019 0:00,LINK/USDT,1.7671,1.79,1.61,1.6883,6940438.91,11648112.15,31270
1.56099E+12,6/20/2019 0:00,LINK/USDT,1.8352,1.8865,1.6859,1.7656,5377028,9540141.377,25242
1.5609E+12,6/19/2019 0:00,LINK/USDT,1.8158,1.9016,1.7869,1.8353,4857793.43,8954934.22,20943
1.56082E+12,6/18/2019 0:00,LINK/USDT,1.9615,2.0185,1.76,1.8194,13903673.74,25883624.64,49717
1.56073E+12,6/17/2019 0:00,LINK/USDT,1.6651,2.0776,1.6525,1.9631,17066477.53,32443361.46,66077
1.56064E+12,6/16/2019 0:00,LINK/USDT,1.718,1.7924,1.6,1.6621,8287172.15,14008833.98,36546
1.56056E+12,6/15/2019 0:00,LINK/USDT,1.6364,1.8065,1.6022,1.7179,10734639.21,18448605.67,42524
1.56047E+12,6/14/2019 0:00,LINK/USDT,1.868,1.8936,1.49,1.6395,33219623.47,54554409.95,115068
1.56038E+12,6/13/2019 0:00,LINK/USDT,1.1448,1.97,1.1126,1.868,34048038.46,58331496.99,121167
1.5603E+12,6/12/2019 0:00,LINK/USDT,1.1241,1.1643,1.0875,1.1448,2552375.74,2871799.938,10688
1.56021E+12,6/11/2019 0:00,LINK/USDT,1.2043,1.207,1.0876,1.1243,3072196.39,3513179.688,12406
1.56012E+12,6/10/2019 0:00,LINK/USDT,1.0595,1.2104,1.0301,1.206,3560999.95,4027582.256,13271
1.56004E+12,6/9/2019 0:00,LINK/USDT,1.1376,1.1486,1.0085,1.0595,3544981.93,3806409.601,13128
1.55995E+12,6/8/2019 0:00,LINK/USDT,1.1747,1.1991,1.1165,1.1326,2537076.42,2927714.643,11125
1.55987E+12,6/7/2019 0:00,LINK/USDT,1.1099,1.2589,1.071,1.1753,6340116.8,7478286.807,24865
1.55978E+12,6/6/2019 0:00,LINK/USDT,1.0959,1.27,1.0556,1.1098,11128235.33,12735058.34,39493
1.55969E+12,6/5/2019 0:00,LINK/USDT,0.885,1.0991,0.8838,1.096,10134603.36,10260184.73,34337
1.55961E+12,6/4/2019 0:00,LINK/USDT,0.8985,0.9299,0.8368,0.885,4577420.9,4017639.798,16372
1.55952E+12,6/3/2019 0:00,LINK/USDT,1.0155,1.02,0.8853,0.9,3308495.33,3184563.205,13255
1.55943E+12,6/2/2019 0:00,LINK/USDT,0.9536,1.0554,0.9323,1.0155,3449110.82,3434246.098,13542
1.55935E+12,6/1/2019 0:00,LINK/USDT,1.0236,1.0598,0.9511,0.956,3797903.78,3799790.573,13119
1.55926E+12,5/31/2019 0:00,LINK/USDT,1.0018,1.0444,0.933,1.0189,7748553.79,7626141.24,21930
1.55917E+12,5/30/2019 0:00,LINK/USDT,1.1722,1.2257,0.9009,1.0023,10326672.93,11158245.53,43021
1.55909E+12,5/29/2019 0:00,LINK/USDT,1.2787,1.2844,1.1426,1.1725,4654393.37,5580540.158,20598
1.559E+12,5/28/2019 0:00,LINK/USDT,1.2173,1.35,1.1441,1.2788,5580233.08,6953474.359,26790
1.55892E+12,5/27/2019 0:00,LINK/USDT,1.0802,1.275,1.0802,1.2119,7339191.28,8694289.418,31838
1.55883E+12,5/26/2019 0:00,LINK/USDT,1.113,1.1824,1.034,1.0828,4854605.26,5317940.972,19207
1.55874E+12,5/25/2019 0:00,LINK/USDT,1.3314,1.3376,1.0961,1.113,6245467.5,7275849.638,23014
1.55866E+12,5/24/2019 0:00,LINK/USDT,1.3393,1.4347,1.2216,1.3314,5097940.05,6795296.791,23885
1.55857E+12,5/23/2019 0:00,LINK/USDT,1.2205,1.3655,1.1418,1.3392,6874618.39,8592874.224,27453
1.55848E+12,5/22/2019 0:00,LINK/USDT,1.1855,1.474,1.1301,1.2205,14821357.09,19619790.33,53298
1.5584E+12,5/21/2019 0:00,LINK/USDT,1.1146,1.25,1.06,1.1798,5046994.2,5745623.488,21707
1.55831E+12,5/20/2019 0:00,LINK/USDT,0.9927,1.143,0.946,1.117,2936467.3,2982285.876,14240
1.55822E+12,5/19/2019 0:00,LINK/USDT,0.936,1.05,0.9279,0.9934,4785605.62,4702849.495,21076
1.55814E+12,5/18/2019 0:00,LINK/USDT,0.895,0.9592,0.8457,0.9359,2389369.04,2179041.174,10994
1.55805E+12,5/17/2019 0:00,LINK/USDT,0.9264,0.9869,0.81,0.8911,5725645.69,5097003.16,21757
1.55796E+12,5/16/2019 0:00,LINK/USDT,0.8427,0.9389,0.7551,0.928,4555532.19,3883945.234,17837
1.55788E+12,5/15/2019 0:00,LINK/USDT,0.8251,0.889,0.7772,0.8427,3798325.64,3148626.362,12549
1.55779E+12,5/14/2019 0:00,LINK/USDT,0.6474,0.9565,0.6332,0.828,7911014.07,6371210.432,27495
1.55771E+12,5/13/2019 0:00,LINK/USDT,0.6607,0.6872,0.6336,0.6474,1281864.7,853179.4287,5907
1.55762E+12,5/12/2019 0:00,LINK/USDT,0.679,0.6999,0.6285,0.6586,1760800.08,1165285.922,6345
1.55753E+12,5/11/2019 0:00,LINK/USDT,0.6731,0.7484,0.6517,0.6752,3014329.89,2076341.526,9763
1.55745E+12,5/10/2019 0:00,LINK/USDT,0.6402,0.7233,0.6374,0.6703,2987660.69,2051444.512,9173
1.55736E+12,5/9/2019 0:00,LINK/USDT,0.594,0.704,0.5873,0.6403,3548028.13,2284998.871,10948
1.55727E+12,5/8/2019 0:00,LINK/USDT,0.5433,0.6157,0.5212,0.594,1255624.91,730122.0284,4797
1.55719E+12,5/7/2019 0:00,LINK/USDT,0.5798,0.6186,0.5409,0.5435,2267674.3,1314846.891,8074
1.5571E+12,5/6/2019 0:00,LINK/USDT,0.5058,0.5882,0.4901,0.5745,1593771.02,868680.9896,6084
1.55701E+12,5/5/2019 0:00,LINK/USDT,0.4964,0.5238,0.4902,0.5058,641774.32,328895.3884,2643
1.55693E+12,5/4/2019 0:00,LINK/USDT,0.5118,0.5151,0.4783,0.4964,640984.06,318811.5078,2937
1.55684E+12,5/3/2019 0:00,LINK/USDT,0.4643,0.5223,0.4607,0.511,1017233.78,502255.6762,3891
1.55676E+12,5/2/2019 0:00,LINK/USDT,0.4745,0.4757,0.46,0.463,228270.4,106411.4994,1046
1.55667E+12,5/1/2019 0:00,LINK/USDT,0.475,0.4876,0.4638,0.473,397476.93,188524.0954,1620
1.55658E+12,4/30/2019 0:00,LINK/USDT,0.4334,0.4771,0.432,0.4727,610148.8,281321.217,2136
1.5565E+12,4/29/2019 0:00,LINK/USDT,0.451,0.4546,0.424,0.4338,394944.33,173429.7316,1297
