unix,date,symbol,open,high,low,close,Volume ADA,Volume USDT,tradecount
1.61304E+12,2/11/2021 12:00,ADA/USDT,0.90467,0.9195,0.90454,0.9094,23758361,21690555.51,22157
1.61304E+12,2/11/2021 11:00,ADA/USDT,0.91099,0.91664,0.9,0.90484,26280480.7,23870291.45,24629
1.61304E+12,2/11/2021 10:00,ADA/USDT,0.91155,0.92653,0.90902,0.911,28286754.3,25889722.42,34531
1.61303E+12,2/11/2021 9:00,ADA/USDT,0.9007,0.915,0.885,0.9113,38379275.1,34502360.94,82008
1.61303E+12,2/11/2021 8:00,ADA/USDT,0.918,0.922,0.90011,0.90078,28994783.7,26378628.16,36939
1.61303E+12,2/11/2021 7:00,ADA/USDT,0.91303,0.9289,0.91265,0.9181,30250160.7,27839934.58,36130
1.61302E+12,2/11/2021 6:00,ADA/USDT,0.92931,0.92943,0.90041,0.91302,40479747.7,36953940.27,81118
1.61302E+12,2/11/2021 5:00,ADA/USDT,0.88339,0.92982,0.88314,0.92926,47101450.3,42684381.66,68489
1.61301E+12,2/11/2021 3:00,ADA/USDT,0.88301,0.88301,0.88301,0.88301,0,0,0
1.61301E+12,2/11/2021 2:00,ADA/USDT,0.87676,0.89359,0.86513,0.88301,30303758.5,26650199.57,36118
1.61301E+12,2/11/2021 1:00,ADA/USDT,0.91787,0.91882,0.87611,0.87676,84132998.7,75652787.27,73408
1.613E+12,2/11/2021 0:00,ADA/USDT,0.94041,0.94873,0.89652,0.91811,88604194.4,81666077.72,112240
1.613E+12,2/10/2021 23:00,ADA/USDT,0.89563,0.95306,0.89136,0.93966,119657920.3,110968761.6,89043
1.61299E+12,2/10/2021 22:00,ADA/USDT,0.90635,0.90891,0.87,0.89512,76603717.9,68274510.26,102738
1.61299E+12,2/10/2021 21:00,ADA/USDT,0.84199,0.92,0.84196,0.90635,122972300.1,108611664.7,88346
1.61299E+12,2/10/2021 20:00,ADA/USDT,0.84526,0.85949,0.83618,0.84199,35354909.4,29914715.54,30944
1.61298E+12,2/10/2021 19:00,ADA/USDT,0.84011,0.85612,0.82164,0.84588,35902133.2,30159425.3,33339
1.61298E+12,2/10/2021 18:00,ADA/USDT,0.85075,0.85075,0.81665,0.84011,52102812,43497748.74,44328
1.61298E+12,2/10/2021 17:00,ADA/USDT,0.8314,0.868,0.82264,0.85055,75822529.6,64388905.19,51162
1.61297E+12,2/10/2021 16:00,ADA/USDT,0.81937,0.8444,0.805,0.83157,76488562.7,63232540.42,56421
1.61297E+12,2/10/2021 15:00,ADA/USDT,0.8307,0.83753,0.77145,0.81804,118866608.6,96187279.79,113182
1.61297E+12,2/10/2021 14:00,ADA/USDT,0.86243,0.8748,0.82377,0.83081,90626569.3,76983937.36,78620
1.61296E+12,2/10/2021 13:00,ADA/USDT,0.82767,0.8642,0.79852,0.86254,96466109.4,79909053.72,104324
1.61296E+12,2/10/2021 12:00,ADA/USDT,0.869,0.88878,0.75139,0.82767,157768287.9,130822446.5,143161
1.61295E+12,2/10/2021 11:00,ADA/USDT,0.83235,0.885,0.82146,0.86974,107122558.8,91599396.43,82527
1.61295E+12,2/10/2021 10:00,ADA/USDT,0.80853,0.83496,0.80179,0.83315,40453971.9,33053624.65,33847
1.61295E+12,2/10/2021 9:00,ADA/USDT,0.79704,0.82586,0.79663,0.80784,43102494.7,34977130.56,52849
1.61294E+12,2/10/2021 8:00,ADA/USDT,0.80797,0.81578,0.7849,0.79659,44521123.8,35557901.79,33807
1.61294E+12,2/10/2021 7:00,ADA/USDT,0.78117,0.827,0.7804,0.80769,63333707.89,50782997.07,46223
1.61294E+12,2/10/2021 6:00,ADA/USDT,0.77113,0.78731,0.77083,0.78123,27936570,21769282.59,22130
1.61293E+12,2/10/2021 5:00,ADA/USDT,0.76154,0.77916,0.75928,0.771,29267962.4,22576773.37,52868
1.61293E+12,2/10/2021 4:00,ADA/USDT,0.77402,0.77535,0.75292,0.76166,31217725,23850086.5,26551
1.61293E+12,2/10/2021 3:00,ADA/USDT,0.7863,0.78724,0.76758,0.77363,42451602.1,32923042.47,32064
1.61292E+12,2/10/2021 2:00,ADA/USDT,0.75231,0.79461,0.75211,0.78656,58765045.08,45609145.62,51074
1.61292E+12,2/10/2021 1:00,ADA/USDT,0.73853,0.75822,0.73717,0.7521,39429058.3,29565572.7,34658
1.61292E+12,2/10/2021 0:00,ADA/USDT,0.70562,0.7586,0.70555,0.73866,106985658.9,78994406.44,77484
1.61291E+12,2/9/2021 23:00,ADA/USDT,0.70678,0.71085,0.69337,0.70562,25917227.7,18223207.12,21607
1.61291E+12,2/9/2021 22:00,ADA/USDT,0.69361,0.70746,0.68619,0.70718,17698904.3,12300250.83,20215
1.6129E+12,2/9/2021 21:00,ADA/USDT,0.70074,0.70131,0.69221,0.69387,18629525.4,12964803.26,16087
1.6129E+12,2/9/2021 20:00,ADA/USDT,0.69584,0.71206,0.6944,0.70093,31680317.1,22301237.62,27795
1.6129E+12,2/9/2021 19:00,ADA/USDT,0.6847,0.70214,0.68403,0.69587,36249418.9,25208105.69,30418
