https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XRP,Volume USDT,tradecount
1617534000000,2021-04-04 11:00:00,XRP/USDT,0.59424000,0.59532000,0.58450000,0.58691000,25494770.60000000,15069392.40353900,18785
1617530400000,2021-04-04 10:00:00,XRP/USDT,0.59618000,0.59689000,0.59051000,0.59424000,19358814.90000000,11488601.88052700,15624
1617526800000,2021-04-04 09:00:00,XRP/USDT,0.59325000,0.59827000,0.59285000,0.59615000,17415978.80000000,10371709.16608200,14265
1617523200000,2021-04-04 08:00:00,XRP/USDT,0.59239000,0.59599000,0.58901000,0.59326000,21851916.50000000,12941734.17494700,17106
1617519600000,2021-04-04 07:00:00,XRP/USDT,0.58841000,0.59322000,0.58500000,0.59240000,19637403.20000000,11569118.43012500,15955
1617516000000,2021-04-04 06:00:00,XRP/USDT,0.58688000,0.58920000,0.58198000,0.58840000,22454335.50000000,13154148.56246900,16907
1617512400000,2021-04-04 05:00:00,XRP/USDT,0.58919000,0.59302000,0.58400000,0.58698000,19784074.00000000,11629341.53244300,14958
1617508800000,2021-04-04 04:00:00,XRP/USDT,0.59121000,0.59280000,0.58754000,0.58923000,14105330.70000000,8319051.68485300,11734
1617505200000,2021-04-04 03:00:00,XRP/USDT,0.59270000,0.59643000,0.58522000,0.59115000,20888909.80000000,12349775.01458400,16303
1617501600000,2021-04-04 02:00:00,XRP/USDT,0.58657000,0.59321000,0.58540000,0.59275000,22758473.60000000,13431133.65744700,16136
1617498000000,2021-04-04 01:00:00,XRP/USDT,0.57817000,0.59010000,0.57412000,0.58658000,27295917.60000000,15894667.10224700,20650
1617494400000,2021-04-04 00:00:00,XRP/USDT,0.57836000,0.58470000,0.56591000,0.57817000,63534550.20000000,36607232.31878500,40559
1617490800000,2021-04-03 23:00:00,XRP/USDT,0.58613000,0.58988000,0.57685000,0.57831000,27921788.20000000,16286926.91517100,20758
1617487200000,2021-04-03 22:00:00,XRP/USDT,0.58501000,0.58877000,0.57373000,0.58624000,40354004.10000000,23487092.88712000,28738
1617483600000,2021-04-03 21:00:00,XRP/USDT,0.59499000,0.60064000,0.57300000,0.58501000,40354225.70000000,23704577.48777800,29787
1617480000000,2021-04-03 20:00:00,XRP/USDT,0.60452000,0.60452000,0.59046000,0.59498000,21023029.00000000,12560594.16522700,17957
1617476400000,2021-04-03 19:00:00,XRP/USDT,0.60357000,0.60616000,0.59949000,0.60453000,22958469.20000000,13838609.01050600,18692
1617472800000,2021-04-03 18:00:00,XRP/USDT,0.59611000,0.60393000,0.58359000,0.60357000,42760943.20000000,25482652.47741200,34700
1617469200000,2021-04-03 17:00:00,XRP/USDT,0.60742000,0.60830000,0.58785000,0.59613000,73062308.50000000,43732074.99676100,55258
1617465600000,2021-04-03 16:00:00,XRP/USDT,0.61672000,0.62463000,0.60161000,0.60767000,52033805.10000000,31975283.02094400,40015
1617462000000,2021-04-03 15:00:00,XRP/USDT,0.62738000,0.62972000,0.61643000,0.61671000,31459163.80000000,19639173.05118300,23752
1617458400000,2021-04-03 14:00:00,XRP/USDT,0.62626000,0.63891000,0.62625000,0.62752000,48156174.50000000,30484896.02260600,34820
1617454800000,2021-04-03 13:00:00,XRP/USDT,0.63082000,0.63082000,0.62276000,0.62625000,35180409.00000000,22050398.41569000,23728
1617451200000,2021-04-03 12:00:00,XRP/USDT,0.62233000,0.63400000,0.61860000,0.63092000,32814153.30000000,20557942.49871200,23610
1617447600000,2021-04-03 11:00:00,XRP/USDT,0.62626000,0.63148000,0.61992000,0.62233000,41848824.00000000,26164646.39865300,24420
1617444000000,2021-04-03 10:00:00,XRP/USDT,0.62057000,0.62849000,0.61871000,0.62626000,32588674.10000000,20331994.94346000,25325
1617440400000,2021-04-03 09:00:00,XRP/USDT,0.61781000,0.62391000,0.60741000,0.62056000,41128216.90000000,25363467.34149400,29205
1617436800000,2021-04-03 08:00:00,XRP/USDT,0.63040000,0.63300000,0.61000000,0.61781000,54298074.10000000,33737186.66335900,39602
1617433200000,2021-04-03 07:00:00,XRP/USDT,0.63701000,0.63758000,0.62909000,0.63041000,33657925.00000000,21300437.46647600,23915
1617429600000,2021-04-03 06:00:00,XRP/USDT,0.63705000,0.64262000,0.63185000,0.63701000,49828144.20000000,31783215.21528800,39679
1617426000000,2021-04-03 05:00:00,XRP/USDT,0.62698000,0.64111000,0.62431000,0.63704000,52710875.20000000,33410896.45659600,36322
1617422400000,2021-04-03 04:00:00,XRP/USDT,0.62327000,0.63191000,0.62222000,0.62697000,22751935.30000000,14249164.79065100,18391
